epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.55336,1.04515,2.66856,1.45495,0.00333,1,0.40927,0.12857,0.97354,3.17638,1.64915,6e-05,6e-05,6e-05
2,5.89833,1.04094,2.66266,1.47367,0.00333,1,0.64215,0.37183,0.5937,2.9808,1.33004,0.00013958,0.00013958,0.00013958
3,9.04628,0.66632,2.36032,1.19924,0.00333,1,0.82795,0.64473,0.46621,2.91016,1.33838,0.00021868,0.00021868,0.00021868
4,11.7749,0.66617,2.09109,1.19801,0.00333,1,0.78473,0.52392,0.83863,2.97334,1.62524,0.0002973,0.0002973,0.0002973
5,14.2241,0.64309,1.81938,1.15726,0.00333,1,0.76807,0.49888,0.79941,2.99604,1.49677,0.00037544,0.00037544,0.00037544
6,16.57,0.65873,1.50331,1.16633,0.00333,1,0.92833,0.61044,0.93636,2.97875,1.84026,0.0004531,0.0004531,0.0004531
7,19.2216,0.69075,1.32847,1.20231,0.63547,0.8,0.82292,0.49707,1.20013,2.8403,2.64488,0.00053028,0.00053028,0.00053028
8,22.3941,0.68493,1.19747,1.19418,0.86402,0.63853,0.85868,0.50823,1.02975,2.73913,2.06799,0.00060698,0.00060698,0.00060698
9,25.0188,0.6887,1.09849,1.21099,0.92103,0.6,0.84202,0.43889,1.68219,2.61423,3.20336,0.0006832,0.0006832,0.0006832
10,27.3141,0.66458,1.0656,1.16458,0.85638,0.59678,0.88158,0.47269,1.20341,2.69377,2.65957,0.00075894,0.00075894,0.00075894
11,29.7094,0.66583,1.0386,1.1792,0.53979,0.4,0.51452,0.21835,1.37694,3.24711,2.65851,0.0008342,0.0008342,0.0008342
12,32.7051,0.72979,1.09399,1.23114,0.00333,1,0.23124,0.03448,2.20664,3.79665,3.25613,0.00090898,0.00090898,0.00090898
13,35.6323,0.71726,0.99196,1.22695,0.41686,0.4,0.35378,0.09089,1.56597,3.41732,2.923,0.00098328,0.00098328,0.00098328
14,37.976,0.73439,0.99303,1.21574,0.02127,0.8,0.12267,0.04662,2.04204,3.53171,3.02643,0.0010571,0.0010571,0.0010571
15,40.4081,0.62462,0.9608,1.12683,0.003,0.9,0.09393,0.03859,2.41287,3.86842,3.15593,0.00113044,0.00113044,0.00113044
16,42.893,0.66549,0.91489,1.14677,0.00167,0.5,0.04372,0.00921,3.09901,3.83697,4.03074,0.0012033,0.0012033,0.0012033
17,45.2397,0.64711,0.87497,1.16307,0.21984,0.8,0.56313,0.20303,1.16887,3.11238,2.03869,0.00127568,0.00127568,0.00127568
18,48.5109,0.64838,0.88934,1.14605,0.77141,0.34282,0.6013,0.30564,1.0322,2.9256,2.1037,0.00134758,0.00134758,0.00134758
19,51.1092,0.62546,0.85959,1.13903,0.09448,0.7,0.25211,0.09601,1.61404,3.38896,2.60124,0.001419,0.001419,0.001419
20,53.4579,0.70644,0.9283,1.17788,0.46118,0.4,0.53183,0.25568,1.83074,3.17616,2.95676,0.00148994,0.00148994,0.00148994
21,55.6671,0.66156,0.82814,1.15127,0.45689,0.4,0.44882,0.16251,1.61368,3.03134,2.87769,0.0015604,0.0015604,0.0015604
22,57.9918,0.70028,0.87156,1.165,0.25261,0.9,0.35793,0.15688,1.3074,2.86969,2.35227,0.00163038,0.00163038,0.00163038
23,60.74,0.69049,0.82945,1.16933,0.17421,0.25487,0.28582,0.11001,1.36569,2.7393,2.274,0.00169988,0.00169988,0.00169988
24,63.6615,0.72066,0.83627,1.20741,0.69737,0.3,0.57803,0.22854,1.49108,2.56423,2.62026,0.0017689,0.0017689,0.0017689
