epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.0444,1.03054,2.57441,1.24734,0.00792,1,0.42541,0.26963,0.73701,2.59894,1.16987,6e-05,6e-05,6e-05
2,8.89468,0.87667,2.51431,1.20547,0.00792,1,0.59609,0.42753,0.76945,2.57801,1.1758,0.00013937,0.00013937,0.00013937
3,11.5766,0.83703,2.32005,1.10927,0.00792,1,0.68272,0.45097,1.02403,2.55731,1.38613,0.00021802,0.00021802,0.00021802
4,13.8734,0.76755,2.01174,1.09258,0.00792,1,0.68769,0.49578,0.86112,2.51022,1.23287,0.00029595,0.00029595,0.00029595
5,17.0796,0.75609,1.70224,1.08451,0.00792,1,0.86546,0.53492,0.97957,2.45904,1.31968,0.00037316,0.00037316,0.00037316
6,19.667,0.83292,1.44198,1.12217,0.00792,1,0.75864,0.42705,1.19759,2.52702,1.4913,0.00044965,0.00044965,0.00044965
7,21.6633,0.83863,1.23269,1.15747,1,0.19,0.71146,0.39559,1.26227,2.44877,1.57123,0.00052542,0.00052542,0.00052542
8,23.7483,0.79375,1.03814,1.08807,0.78193,0.37826,0.79713,0.41297,1.2941,2.29292,1.7338,0.00060047,0.00060047,0.00060047
9,25.8076,0.77952,0.97151,1.09298,0.94287,0.26316,0.6247,0.34616,1.47941,2.58429,1.8346,0.0006748,0.0006748,0.0006748
10,27.9703,0.74566,0.94455,1.04956,0.7594,0.15789,0.58751,0.3233,1.26073,2.54094,1.73028,0.00074841,0.00074841,0.00074841
11,31.0638,0.68519,0.88532,1.03014,0.50944,0.15789,0.26239,0.13584,1.87917,2.95706,2.48681,0.0008213,0.0008213,0.0008213
12,34.3598,0.79309,0.9435,1.05129,0.36383,0.26316,0.31238,0.0871,1.9202,2.99265,2.40008,0.00089347,0.00089347,0.00089347
13,36.2655,0.73424,0.91857,1.11098,0.43066,0.24011,0.31564,0.1649,1.64835,2.85269,2.32269,0.00096492,0.00096492,0.00096492
14,38.2179,0.67961,0.82274,1.02665,0.82857,0.25563,0.34023,0.1119,1.7371,2.8725,2.55244,0.00103565,0.00103565,0.00103565
15,40.4509,0.72665,0.83559,1.03479,0.78054,0.36842,0.58416,0.33062,1.46047,2.43657,2.15105,0.00110566,0.00110566,0.00110566
16,43.0499,0.70886,0.83905,1.03569,0.79135,0.40056,0.54872,0.30508,1.3702,2.42466,1.93437,0.00117495,0.00117495,0.00117495
17,45.4024,0.73811,0.82006,1.0446,0.79033,0.63158,0.70907,0.42932,1.34768,2.28025,1.94544,0.00124352,0.00124352,0.00124352
18,47.3452,0.77146,0.82558,1.10835,0.73744,0.5919,0.72204,0.36917,1.46532,2.14988,2.06282,0.00131137,0.00131137,0.00131137
19,49.6406,0.64333,0.771,1.018,0.81592,0.46713,0.65093,0.33222,1.66894,2.25793,2.16457,0.0013785,0.0013785,0.0013785
20,51.621,0.70227,0.79139,1.04051,0.48183,0.26316,0.32831,0.1413,1.76815,2.65833,2.0044,0.00144491,0.00144491,0.00144491
21,53.7141,0.72904,0.76025,1.03778,0.00792,1,0.10926,0.04388,1.89406,2.92353,2.02291,0.0015106,0.0015106,0.0015106
22,56.5037,0.68967,0.74778,1.02731,0.5235,0.21053,0.29042,0.17665,1.67278,2.60749,2.19785,0.00157557,0.00157557,0.00157557
23,59.1929,0.64382,0.71719,0.9922,0.37661,0.26316,0.25355,0.12886,1.90877,2.5979,2.61347,0.00163982,0.00163982,0.00163982
24,61.2156,0.63953,0.66977,0.98098,0.58858,0.30227,0.26989,0.14936,2.42526,2.62339,2.83938,0.00170335,0.00170335,0.00170335
25,63.4538,0.65107,0.66675,1.02528,0.59262,0.30705,0.31453,0.14149,2.46057,2.6278,3.00723,0.00176616,0.00176616,0.00176616
26,65.5784,0.70043,0.71022,1.01062,0.66202,0.20686,0.26241,0.10724,2.46719,2.68193,2.98699,0.001775,0.001775,0.001775
27,67.8496,0.73352,0.73426,1.06042,0.14353,0.15789,0.16069,0.06626,2.69921,3.28538,4.1673,0.001766,0.001766,0.001766
28,70.6984,0.72504,0.72239,1.04111,0.24186,0.05263,0.05359,0.03027,2.80278,3.34417,3.40685,0.001757,0.001757,0.001757
29,73.3194,0.64748,0.67755,1.02173,0.00417,0.52632,0.00874,0.00148,3.66537,3.70481,4.31031,0.001748,0.001748,0.001748
30,75.5423,0.67681,0.64057,1.01734,0.20451,0.10526,0.07537,0.05363,2.92714,3.54237,3.60001,0.001739,0.001739,0.001739
31,77.9373,0.71882,0.67669,1.06524,0.4781,0.05263,0.05396,0.01387,2.59495,3.27064,3.4611,0.00173,0.00173,0.00173
32,80.0147,0.72571,0.69358,1.02763,0.03003,0.26316,0.02242,0.00565,2.56685,3.40368,3.5664,0.001721,0.001721,0.001721
33,82.7497,0.68304,0.66596,1.03187,0.25725,0.15789,0.07469,0.01158,2.44748,3.17976,2.95677,0.001712,0.001712,0.001712
34,86.029,0.6934,0.64916,0.98924,0.21007,0.21053,0.12512,0.05796,2.07022,2.64904,2.32422,0.001703,0.001703,0.001703
35,88.2408,0.66185,0.62508,1.0296,0.15965,0.15789,0.04516,0.01422,2.73039,3.07521,2.97293,0.001694,0.001694,0.001694
36,90.4473,0.66034,0.61966,1.00778,0.13192,0.23232,0.09677,0.03369,2.56095,2.91328,2.69892,0.001685,0.001685,0.001685
37,92.6171,0.66382,0.60123,0.98702,0.03691,0.57895,0.13325,0.03634,2.38519,2.87462,2.3403,0.001676,0.001676,0.001676
38,94.8887,0.61817,0.58056,0.97574,0.07038,0.10526,0.06076,0.02427,2.12365,2.89027,2.09251,0.001667,0.001667,0.001667
39,98.1087,0.60349,0.58913,1.00689,0.24087,0.10526,0.09995,0.05504,1.94725,2.71027,2.07222,0.001658,0.001658,0.001658
40,100.743,0.60331,0.57659,0.99363,0.21983,0.26316,0.17941,0.11927,1.92783,2.44627,2.05921,0.001649,0.001649,0.001649
41,102.878,0.64467,0.62493,0.99708,0.25083,0.42105,0.17035,0.10437,1.74519,2.44478,2.06836,0.00164,0.00164,0.00164
42,105.187,0.64217,0.61212,0.97959,0.71905,0.40519,0.49662,0.28447,1.56227,1.92238,1.89776,0.001631,0.001631,0.001631
43,107.38,0.6373,0.5899,0.99141,0.71224,0.52632,0.51656,0.29718,1.66217,1.78386,1.9916,0.001622,0.001622,0.001622
44,110.247,0.61835,0.556,0.99328,0.8564,0.42105,0.51523,0.3174,1.71457,1.76319,1.96622,0.001613,0.001613,0.001613
45,113.341,0.56566,0.52793,0.97535,0.80038,0.47368,0.58903,0.3847,1.5012,1.52405,1.6938,0.001604,0.001604,0.001604
46,115.782,0.62763,0.6797,1.02007,0.59822,0.63158,0.57687,0.3366,1.52749,1.54469,1.64372,0.001595,0.001595,0.001595
47,117.975,0.57748,0.5443,0.98139,0.4718,0.57895,0.47289,0.24476,1.62529,1.83647,1.99654,0.001586,0.001586,0.001586
48,120.236,0.6,0.54464,1.01129,0.32729,0.36842,0.29411,0.20885,1.63098,2.31285,2.029,0.001577,0.001577,0.001577
49,122.764,0.53149,0.53789,0.95901,0.42955,0.39706,0.36649,0.22574,1.76421,2.05458,2.27182,0.001568,0.001568,0.001568
50,125.91,0.5843,0.5327,0.97083,0.57004,0.41884,0.3738,0.21845,1.64947,2.18133,2.15229,0.001559,0.001559,0.001559
51,128.423,0.57029,0.52423,0.9732,0.35639,0.46655,0.2119,0.09672,2.02148,2.76427,2.71825,0.00155,0.00155,0.00155
52,130.818,0.51632,0.47278,0.92188,0.33048,0.15789,0.12127,0.06003,2.36953,3.27546,2.9068,0.001541,0.001541,0.001541
53,133.429,0.53519,0.49177,0.93769,0.49961,0.15789,0.15922,0.08829,2.43686,2.97776,2.89647,0.001532,0.001532,0.001532
54,135.609,0.53672,0.51568,0.96716,0.4338,0.21053,0.13586,0.04236,2.33455,3.94316,2.69603,0.001523,0.001523,0.001523
